closed_time,symbol,direction,qty,entry_price,exit_price,pnl,pnl_pct,entry_time,exit_reason,score,tfs_agreed,mode
2026-04-23T08:46:25.040251,ARKK260501C00079000,buy,1,2.31,1.46,-85.0,-36.8,,holding,0,0,paper
2026-04-23T08:46:25.040276,HOOD,buy,2,88.105,87.2,-1.81,-1.03,,holding,0,0,paper
2026-04-23T08:46:25.040290,IONQ260501C00049000,buy,1,2.75,2.1,-65.0,-23.64,,holding,0,0,paper
2026-04-23T15:00:39.127456,ARKK260501C00079000,buy,1,2.31,0.87,-144.0,-62.34,,holding,0,0,paper
2026-04-23T15:00:39.127485,GME.WS,buy,11,3.66,3.62,-0.44,-1.09,,holding,0,0,paper
2026-04-23T15:00:39.127498,HOOD,buy,2,88.105,83.49,-9.23,-5.24,,holding,0,0,paper
2026-04-23T15:00:39.127508,IONQ260501C00049000,buy,1,2.75,0.83,-192.0,-69.82,,holding,0,0,paper
2026-04-23T15:00:39.127520,MRVL,buy,1,163.48,165.57,2.09,1.28,2026-04-23T09:59:36.729790,holding,50,0,paper
