closed_time,symbol,direction,qty,entry_price,exit_price,pnl,pnl_pct,entry_time,exit_reason,score,tfs_agreed,mode
2026-05-02T12:04:43.989222,BTCUSD,buy,0,75946.712,78471.44,2.6,3.32,,holding,0,0,paper
2026-05-02T12:04:43.989250,RBLX260508P00042000,buy,1,0.78,0.47,-31.0,-39.74,,holding,0,0,paper
